STATE,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price Date
Tamilnadu,salem,Sooramangalam(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000.0,5/11/2025
Haryana,panchkula,Raipur Rai,Onion,Other,FAQ,1800,2000,1800.0,5/11/2025
Uttar Pradesh,prayagraj,Ajuha,Potato,Desi,FAQ,1170,1300,1240.0,5/11/2025
Tamilnadu,kancheepuram,Kundrathur(Uzhavar Sandhai ),Onion,Bellary,Local,2000,2500,2500.0,5/11/2025
Uttar Pradesh,mirzapur,Ahirora,Onion,Red,Non-FAQ,700,800,800.0,5/11/2025
Rajasthan,hanumangarh,Dablirathan,Onion,1st Sort,FAQ,1000,1200,1100.0,5/11/2025
West Bengal,paschim bardhaman,Durgapur,Rice,Other,FAQ,2875,3200,2950.0,5/11/2025
Uttar Pradesh,sambhal,Muradabad,Onion,Red,FAQ,1210,1240,1225.0,5/11/2025
Uttar Pradesh,agra,Samsabad,Potato,Potato,FAQ,700,900,800.0,5/11/2025
Uttar Pradesh,saharanpur,Saharanpur,Potato,Desi,Non-FAQ,600,850,700.0,5/11/2025
Uttar Pradesh,agra,Achnera,Rice,III,FAQ,3340,3380,3360.0,5/11/2025
Uttar Pradesh,bulandshahar,Anoop Shahar,Onion,Red,FAQ,800,1200,1000.0,5/11/2025
Uttar Pradesh,bulandshahar,Jahangirabad,Potato,Desi,FAQ,1050,1240,1145.0,5/11/2025
Uttar Pradesh,hardoi,Shahabad(New Mandi),Onion,Red,FAQ,1200,1300,1250.0,5/11/2025
Rajasthan,alwar,Alwar (F&V),Onion,Other,FAQ,1300,1800,1500.0,5/11/2025
West Bengal,howrah,Ramkrishanpur(Howrah),Onion,Other,FAQ,1600,2500,2000.0,5/11/2025
Rajasthan,alwar,Alwar (F&V),Potato,Other,FAQ,1200,1800,1600.0,5/11/2025
West Bengal,nadia,Bethuadahari,Onion,Local,FAQ,1700,1800,1750.0,5/11/2025
Orissa,bargarh,Bargarh,Potato,Other,FAQ,2400,2600,2500.0,5/11/2025
Madhya Pradesh,morena,Sabalgarh(F&V),Potato,Jyoti,FAQ,450,500,475.0,5/11/2025
Madhya Pradesh,shajapur,Soyatkalan,Onion,Onion,Non-FAQ,600,600,600.0,5/11/2025
Uttar Pradesh,bulandshahar,Siyana,Potato,Desi,FAQ,810,860,830.0,5/11/2025
Uttar Pradesh,agra,Samsabad,Onion,Red,FAQ,1400,1600,1500.0,5/11/2025
Orissa,bargarh,Bargarh(Barapalli),Onion,Other,FAQ,2300,2500,2400.0,5/11/2025
Kerala,idukki,Kattappana,Onion,Big,Non-FAQ,4500,4500,4500.0,5/11/2025
Tamilnadu,kancheepuram,Sunguvarchatram(Uzhavar Sandhai ),Potato,(Red Nanital),Local,2500,3000,3000.0,5/11/2025
Bihar,samastipur,Tajpur,Onion,Medium,FAQ,1500,1600,1600.0,5/11/2025
Uttar Pradesh,saharanpur,Chutmalpur,Onion,Red,FAQ,900,1100,1000.0,5/11/2025
Tamilnadu,virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3000,3500,3500.0,5/11/2025
Maharashtra,jalgaon,Bhusaval,Onion,Red,Local,1000,1500,1300.0,5/11/2025
Kerala,kottayam,Kanjirappally,Potato,Potato,FAQ,4000,4500,4200.0,5/11/2025
Rajasthan,bhilwara,Bhilwara,Onion,Other,FAQ,1000,1500,1250.0,5/11/2025
Kerala,ernakulam,Angamaly,Onion,Big,FAQ,2800,3500,3000.0,5/11/2025
Haryana,sirsa,Ellanabad,Onion,Local,FAQ,750,1100,900.0,5/11/2025
Uttar Pradesh,lalitpur,Lalitpur,Onion,Red,FAQ,1240,1285,1260.0,5/11/2025
Tamilnadu,the nilgiris,Coonoor(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4000,5000,5000.0,5/11/2025
West Bengal,jalpaiguri,Dhupguri,Potato,Red,FAQ,1300,1400,1350.0,5/11/2025
Tamilnadu,ramanathapuram,Ramanathapuram(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3500,3500.0,5/11/2025
Uttar Pradesh,etawah,Bharthna,Onion,Red,FAQ,1180,1380,1280.0,5/11/2025
Uttar Pradesh,ambedkarnagar,Akbarpur,Onion,Red,FAQ,1200,1250,1220.0,5/11/2025
West Bengal,paschim bardhaman,Asansol,Rice,Fine,FAQ,4250,4500,4365.0,5/11/2025
Tamilnadu,kancheepuram,Kancheepuram(Uzhavar Sandhai ),Potato,(Red Nanital),Local,2500,3000,3000.0,5/11/2025
Tamilnadu,villupuram,Ulundurpettai,Onion,Bellary,Local,2000,2500,2500.0,5/11/2025
Kerala,thiruvananthapuram,Aralamoodu,Onion,Onion,FAQ,3000,3800,3500.0,5/11/2025
West Bengal,puruliya,Purulia,Potato,Jyoti,FAQ,1200,1250,1230.0,5/11/2025
Uttar Pradesh,sambhal,Sambhal,Potato,Desi,FAQ,700,1250,1000.0,5/11/2025
Andhra Pradesh,nalgonda,Venkateswarnagar,Potato,Local,FAQ,2500,2700,2600.0,5/11/2025
West Bengal,paschim bardhaman,Durgapur,Onion,Nasik,Non-FAQ,1550,1700,1600.0,5/11/2025
Maharashtra,satara,Vai,Onion,Local,Local,500,1500,1000.0,5/11/2025
Tamilnadu,virudhunagar,Sivakasi(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4800,5000,5000.0,5/11/2025
Uttar Pradesh,etawah,Etawah,Onion,Red,FAQ,1000,1325,1250.0,5/11/2025
Haryana,rewari,Rewari,Potato,Other,Non-FAQ,1000,1600,1300.0,5/11/2025
Haryana,sirsa,Sirsa,Onion,Other,FAQ,900,2000,1200.0,5/11/2025
Uttar Pradesh,gonda,Gonda,Potato,Potato,FAQ,1150,1200,1170.0,5/11/2025
Tamilnadu,erode,Gobichettipalayam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3600,4000,4000.0,5/11/2025
Tamilnadu,virudhunagar,Thalavaipuram(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000.0,5/11/2025
Uttar Pradesh,bulandshahar,Siyana,Onion,Red,FAQ,1200,1300,1250.0,5/11/2025
Tamilnadu,cuddalore,Cuddalore(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4000,4000,4000.0,5/11/2025
Uttar Pradesh,gonda,Nawabganj,Onion,Red,FAQ,1200,1240,1220.0,5/11/2025
Tamilnadu,madurai,Anaiyur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4200,4600,4600.0,5/11/2025
Haryana,fatehabad,Jakhal,Onion,Other,FAQ,1200,1200,1200.0,5/11/2025
Tamilnadu,thirunelveli,NGO Colony(Uzhavar Sandhai ),Onion,Bellary,Local,2000,2500,2500.0,5/11/2025
Assam,lakhimpur,Lakhimpur,Potato,Local,FAQ,1200,1320,1260.0,5/11/2025
Tamilnadu,salem,Jalagandapuram(Uzhavar Sandhai ),Onion,Bellary,Local,2600,3000,3000.0,5/11/2025
Haryana,gurgaon,Sohna,Onion,Onion,FAQ,1500,1800,1800.0,5/11/2025
Haryana,sirsa,Sirsa,Potato,Other,FAQ,500,1000,800.0,5/11/2025
West Bengal,bankura,Bishnupur(Bankura),Rice,Common,FAQ,800,1200,900.0,5/11/2025
Haryana,sonipat,Ganaur,Onion,Onion,FAQ,1800,2000,1800.0,5/11/2025
Haryana,faridabad,"New Grain Market , Faridabad",Potato,Other,Non-FAQ,800,1000,900.0,5/11/2025
